علي حبابي يا مكتوب خايف|تروح|وتطول يا مكتوب وتنســــــانا علي
المـدي واشرح ليها عن حالتي|و|اشرح ليها عن حالتي روحي
و اشرح ليها عن حالتي|روحي|عليلة لاجلها ها ها روح
روحي عليلة لاجلها ها ها|روح|يا نسيم لارضها سلم لي
لارضها سلم لي عاللي بحبها|روح|يا نسيم لارضها سلم لي
حالتي واشرح ليها عن حالتي|روحي|عليلة لاجلها ها ها روح
روحي عليلة لاجلها ها ها|روح|يا نسيم فوق الجبل لابد
الجبل لابد يوم عندها توصل|روح|يا نسيم فوق الجبل لابد
حالتي واشرح ليها عن حالتي|روحي|عليلة لاجلها ها ها روح
روحي عليلة لاجلها ها ها|روح|يا نسيم لارضها سلم لي
لارضها سلم لي عاللي بحبها|روح|يا نسيم لارضها سلم لي
حالتي واشرح ليها عن حالتي|روحي|عليلة لاجلها ها ها بالله
حالتي واشرح ليها عن حالتي|روحي|عليلة لاجلها ها ها روح
روحي عليلة لاجلها ها ها|روح|يا نسيم لارضها سلم لي
لارضها سلم لي عاللي بحبها|روح|يا نسيم لارضها سلم لي
حالتي واشرح ليها عن حالتي|روحي|عليلة لاجلها ها ها يا
حالتي واشرح ليها عن حالتي|روحي|عليلة لاجلها ها ها روح
روحي عليلة لاجلها ها ها|روح|يا نسيم لارضها سلم لي
لارضها سلم لي عاللي بحبها|روح|يا نسيم لارضها سلم لي
حالتي واشرح ليها عن حالتي|روحي|عليلة لاجلها ها ها يا
