فلوريدا تصنف " الاخوان "|و|" كير " ارهابيتين مقتل
» بين ترمب ونابليون :|روح|العالم يتحرك مجددا بين ترمب
مجددا بين ترمب ونابليون :|روح|العالم يتحرك مجددا ان نهج
الحرب العالمية الثانية . فنومنولوجيا|الروح|وروح العالم في عام 1806
العالمية الثانية . فنومنولوجيا الروح|وروح|العالم في عام 1806 ،
الفلسفية ، اعني به فنومنولوجيا|الروح|، في وقت كان فيه
ذو هدف نهائي لتحقيق "|الروح|المطلق " وتجسيده . وما
هيغل ونابليون كلاهما يعبر عن|الروح|المطلق ويجسدانه . فهيغل ليس
، بل ما يجسده .|روح|العالم يتحرك مجدداً سيد العالم
يتحرك مجدداً سيد العالم او|روح|العالم او امبراطور العالم يتحرك
مزيد من الانحطاط العالمي .|روح|العالم هذا او لنقل سيد
) وعليه ، لم يعد|روح|العالم هذا او هذا الفرد
الشهيرة " رايت الامبراطور -|روح|العالم هذا - يمشي في
الفلسفة " ان الماهية الكلية|للروح|تتجزا في ارواح فردية تعي
وعي نفسه في النهاية في|روح|الفيلسوف . هل الَّه هيغل
جديد ، اذ يبدو ان|روح|العالم قد نجح اخيراً في
ان يدرك ذاته علي انه|الروح|المطلق " . اقرا المزيد
ابطال التاريخ ادوات يحقق بها|الروح|المطلق اهدافه ، حتي لو
هيغل في نابليون التجسيد الاقوي|لروح|العالم ، فقد ارسلته "
شئنا ام ابينا ، يجسد|روح|العالم اليوم ، وان كان
، وان كان مجرد اداة|للروح|المطلق لتحقيق مسيرته المظفرة ،
التاريخ ، اليوم ، ويجسد|روح|العالم في ظل ابتذال وانحطاط
. كان نابليون الذي جسد|روح|العالم يقطع عن القرون الوسطي
الحق ، اما اليوم فان|روح|العالم يمثل اخر تجليات الحداثة
الرديئة . لقد فقد عصرنا|روحه|، اذ اننا نعيش عصراً
اذ اننا نعيش عصراً بلا|روح|. يقال ان الراسمالية تجدد
الدورية ، ترمب يمثل اليوم|روح|الراسمالية المتوحشة ، لذلك نراه
ف ب ) لنلاحظ ان|روح|العالم في جولته الخليجية لم
ذاتها ؟ لماذا فقد العالم|روحه|ومعناه مع ان روح العالم
العالم روحه ومعناه مع ان|روح|العالم فيه يتحرك بقوة ولا
هيغل ان يقول لو شاهد|روح|العالم معتلياً جملاً ووراءه خزنات
