before4;before3;before2;before1;target;after1;after2;after3;after4
неуловимая; мимолетная; Что; такое; душа; Можно; ли; найти; для
мы; приблизимся; к; пониманию; души; но; почему; бы; не
большинстве; языков; слова; означающие; душу; так; или; иначе; связаны
я; спросил; как; понимает; душу; психология; ; ; 
профессиональная; психология; не; признает; души; Для; души; настолько; не
не; признает; души; Для; души; настолько; не; осталось; места
психологию; Мне; кажется; что; душа; это; движение; я; бы
управления; им; либо; наоборот; душа; не; справляется; с; телом
можно; подстроиться; к; такой; душе; и; общаться; с; ней
Может; ли; психолог; осязать; душу; трогать; ее; Казалось; бы
трогать; ее; Казалось; бы; душу; осязать; нельзя; Мы; говорим
Мы; говорим; глаза; зеркало; души; чужая; душа; потемки; На
глаза; зеркало; души; чужая; душа; потемки; На; самом; деле
через; который; мы; можем; душу; если; хотите; даже; осязать
самые; различные; формы; О; душе; как; раз; и; судить
о; силе; и; температуре; души; ; ; ; 
; Кажется; наиболее; резко; душу; противопоставляет; телу; христианство; Почему
интерпретируем; как; резкое; противопоставление; души; и; тела; в; действительности
именно; как; спиритуалистическое; противопоставление; души; и; тела; то; есть
ради; того; чтобы; спасти; душу; отсеки; свою; правую; руку
ввержено; в; геенну; Не; душа; но; тело; Мне; кажется
кажется; что; резкое; противопоставление; души; и; тела; начинается; в
теле; как; темнице; для; души; и; гностицизм; именно; гностицизм
такого; подхода; такого; противопоставления; души; и; тела; Ведь; именно
повашему; где; границы; между; душой; и; духом; Это; противопоставление
Как; понимает; Новый; Завет; душу; Очень; часто; в; традициях
в; традициях; Ветхого; Завета; душа; понимается; как; жизнь; вообще
Тот; кто; хочет; сохранить; душу; свою; тот; потеряет; ее
жизнь; То; есть; слово; душа; в; этом; контексте; обозначает
идеи; духовности; неуничтожимости; бессмертия; души; посмертного; воздаяния; и; так
помине; Как; относится; к; душе; древнейшая; мировая; религия; буддизм
основе; буддизма; лежит; отрицание; души; Почему; Потому; что; они
что; они; сначала; лишили; душу; онтологического; статуса; а; потом
что; они; играют; роль; души; а; скорее; то; о
я; как; само; как; душа; на; самом; деле; есть
установлены; как; бы; вместо; души; в; противоположность; ей; они
как; своего; рода; путешествие; души; Разумеется; можно; хотя; она
прекрасно; существовать; и; без; души; Но; конечно; в; основном
что; реинкарнируется; Разумеется; это; душа; все; остальное; исчезает; С
да; воспроизведет; вода; пресмыкающихся; душу; живую; Это; й; стих
рыб; больших; и; всякую; душу; животных; пресмыкающихся; которых; произвела
роду; их; Есть; ли; душа; у; животных; Мнение; московского
Кира; Месиса; Что; такое; душа; каждый; понимает; посвоему; Я
чем; значит; у; животных; души; нет; Но; спросите; пожалуйста
пьяный; хулиган; имеет; бессмертную; душу; пусть; и; грешную; а
а; благородное; животное; лишено; души; Нет; несправедливо; Помоему; даже
обезьян; может; быть; есть; душа; Я; думаю; что; не
только; у; обезьян; есть; душа; По; латыни; анима; дух
Значит; любое; животное; имеет; душу; Аристотель; же; думал; что
и; у; растений; есть; душа; примитивная; растительная; А; Дерсу
коснется; человек; озарено; его; душой; живою; Может; быть; чтото
чтото; конкретное; знают; о; душе; специалисты; в; области; сердечной
работе; сердечного; хирурга; понятие; души; не; присутствует; хотя; по
эту; машину; перемещается; временно; душа; Сегодня; хирургия; сердца; это
меньше; всего; думающие; о; душе; Такие; как; Андреас; Везалий
одна; попытка; дать; определение; души; Поэтическая; попытка; Александра; Кушнера
То; что; мы; зовем; душой; ; ; ; 
; ; Тучка; ласточка; душа; ; ; ; 
