INDEX; URL                                                                                                                                             ; ENCODING    ; HTTP_CODE; TXT_DUMP                            ; HTML_DUMP                     ; TOTAL_WORDS; TARGET_TOTAL; KWIC
    2; https://ru.wiktionary.org/wiki/%D0%B4%D1%83%D1%85                                                                                               ; utf-8       ;       200; ../../ru/txt/original/ru2/ru2-2.txt ; ../../ru/html_dump/ru2-2.html ;        7833;          670; ../../ru/csv/ru2-2.csv
    3; https://pravoslavie.ru/174667.html                                                                                                              ; utf-8       ;       200; ../../ru/txt/original/ru2/ru2-3.txt ; ../../ru/html_dump/ru2-3.html ;        2833;           66; ../../ru/csv/ru2-3.csv
    4; https://bigenc.ru/c/dukh-0ed059                                                                                                                 ; utf-8       ;       200; ../../ru/txt/original/ru2/ru2-4.txt ; ../../ru/html_dump/ru2-4.html ;        1304;           45; ../../ru/csv/ru2-4.csv
    5; https://azbyka.ru/duxh                                                                                                                          ; indisponible;       404; ../../ru/txt/original/ru2/ru2-5.txt ; ../../ru/html_dump/ru2-5.html ;          15;            0; ../../ru/csv/ru2-5.csv
    6; https://www.harc.ru/slovar/685.html                                                                                                             ; utf-8       ;       200; ../../ru/txt/original/ru2/ru2-6.txt ; ../../ru/html_dump/ru2-6.html ;         889;           62; ../../ru/csv/ru2-6.csv
    7; https://dzen.ru/a/YSdQFQnD3xk2pM3u                                                                                                              ; utf-8       ;       200; ../../ru/txt/original/ru2/ru2-7.txt ; ../../ru/html_dump/ru2-7.html ;           0;            0; ../../ru/csv/ru2-7.csv
    8; https://tenchat.ru/media/1381468-v-chem-razlichiye-i-skhodstvo-dushi-i-dukha                                                                    ; utf-8       ;       200; ../../ru/txt/original/ru2/ru2-8.txt ; ../../ru/html_dump/ru2-8.html ;         856;           19; ../../ru/csv/ru2-8.csv
    9; https://vc.ru/opinions/1672265-chto-takoe-duh-i-chto-takoe-dusha                                                                                ; utf-8       ;       200; ../../ru/txt/original/ru2/ru2-9.txt ; ../../ru/html_dump/ru2-9.html ;         467;           10; ../../ru/csv/ru2-9.csv
   10; https://www.b17.ru/article/chto-takoe-duh/                                                                                                      ; windows-1251;       200; ../../ru/txt/original/ru2/ru2-10.txt; ../../ru/html_dump/ru2-10.html;       10542;          295; ../../ru/csv/ru2-10.csv
   11; https://ugramegasport.ru/2025/12/20/sledzh-hokkej-igra-vdohnovlennaya-siloj-duha-i-volej-k-pobede/                                              ; utf-8       ;       200; ../../ru/txt/original/ru2/ru2-11.txt; ../../ru/html_dump/ru2-11.html;         740;            2; ../../ru/csv/ru2-11.csv
   12; https://cultura24.ru/news/22996/                                                                                                                ; utf-8       ;       200; ../../ru/txt/original/ru2/ru2-12.txt; ../../ru/html_dump/ru2-12.html;         386;            3; ../../ru/csv/ru2-12.csv
   13; https://kluch.media/materials/my-dolgoe-ekho-drug-druga-kollektsiya-obrazov-v-fotoproekte-po-motivam-tvorchestva-roberta-rozhdestv/             ; utf-8       ;       200; ../../ru/txt/original/ru2/ru2-13.txt; ../../ru/html_dump/ru2-13.html;        3192;            1; ../../ru/csv/ru2-13.csv
   14; https://kamensk-uralskiy.ru/news/novosti_administracii/28481-zdes-russkiy-duh-zdes-rusyu-pahnet.html                                            ; utf-8       ;       200; ../../ru/txt/original/ru2/ru2-14.txt; ../../ru/html_dump/ru2-14.html;        1652;            2; ../../ru/csv/ru2-14.csv
   15; https://gazeta19.ru/news/kultura/multfilmy-volk-i-kon-i-rybak-i-vodnyy-dukh-prezentovali-v-khakasii/                                            ; utf-8       ;       200; ../../ru/txt/original/ru2/ru2-15.txt; ../../ru/html_dump/ru2-15.html;         721;            2; ../../ru/csv/ru2-15.csv
   16; https://rplinevo.nso.ru/news/6559                                                                                                               ; indisponible;       403; ../../ru/txt/original/ru2/ru2-16.txt; ../../ru/html_dump/ru2-16.html;           4;            0; ../../ru/csv/ru2-16.csv
   17; https://hockey.by/news/intervyu/news391953.html                                                                                                 ; utf-8       ;       200; ../../ru/txt/original/ru2/ru2-17.txt; ../../ru/html_dump/ru2-17.html;        1734;            3; ../../ru/csv/ru2-17.csv
   18; https://vecherka-spb.ru/2025/12/18/v-svr-zayavili-chto-korruptsionnii-skandal-na-ukraine-vizval-padenie-moralnogo-dukha-vsu                     ; indisponible;       200; ../../ru/txt/original/ru2/ru2-18.txt; ../../ru/html_dump/ru2-18.html;           1;            0; ../../ru/csv/ru2-18.csv
   19; https://spbdnevnik.ru/news/2025-12-22/prodolzhayte-v-tom-zhe-dukhe-evgeniy-razumishkin-posetil-novogodnyuyu-pochtu-peterburgskogo-dnevnika      ; utf-8       ;       200; ../../ru/txt/original/ru2/ru2-19.txt; ../../ru/html_dump/ru2-19.html;         389;            3; ../../ru/csv/ru2-19.csv
   20; https://izvmor.ru/novosti/obshchestvo/v-saranske-nagradili-pobeditelej-konkursa-aleksandr-nevskij-slava-duh-i-imya-rossii/                      ; utf-8       ;       200; ../../ru/txt/original/ru2/ru2-20.txt; ../../ru/html_dump/ru2-20.html;         897;            7; ../../ru/csv/ru2-20.csv
   21; https://mir24.tv/news/16656109/glavnoe-na-pole-komandnyj-duh.-komanda-mtrk-mir-debyutirovala-na-futbolnom-turnire-zhurnalistov-v-baku           ; indisponible;       403; ../../ru/txt/original/ru2/ru2-21.txt; ../../ru/html_dump/ru2-21.html;          28;            0; ../../ru/csv/ru2-21.csv
   22; https://www.gazeta.ru/politics/news/2025/12/21/27466567.shtml                                                                                   ; indisponible;       302; ../../ru/txt/original/ru2/ru2-22.txt; ../../ru/html_dump/ru2-22.html;           0;            0; ../../ru/csv/ru2-22.csv
   23; https://www.ogirk.ru/2025/12/17/strelba-iz-luka-zakaljaet-harakter-i-silu-duha/                                                                 ; utf-8       ;       200; ../../ru/txt/original/ru2/ru2-23.txt; ../../ru/html_dump/ru2-23.html;         943;            2; ../../ru/csv/ru2-23.csv
   24; https://globalcity.info/photo/22-12-2025/69822                                                                                                  ; utf-8       ;       200; ../../ru/txt/original/ru2/ru2-24.txt; ../../ru/html_dump/ru2-24.html;        1076;            3; ../../ru/csv/ru2-24.csv
   25; https://ru.nhandan.vn/vsenarodnii-s-ezd-patrioticheskogo-sorevnovanija-dolzhen-stat-mestom-rasprostranenija-patrioticheskogo-duha-post58143.html; utf-8       ;       200; ../../ru/txt/original/ru2/ru2-25.txt; ../../ru/html_dump/ru2-25.html;        1859;            2; ../../ru/csv/ru2-25.csv
   26; https://yandex.ru/q/revelation/8720998145/                                                                                                      ; utf-8       ;       200; ../../ru/txt/original/ru2/ru2-26.txt; ../../ru/html_dump/ru2-26.html;        2759;           93; ../../ru/csv/ru2-26.csv
   27; https://tass.ru/politika/25992093                                                                                                               ; utf-8       ;       200; ../../ru/txt/original/ru2/ru2-27.txt; ../../ru/html_dump/ru2-27.html;         510;            2; ../../ru/csv/ru2-27.csv
   28; https://azbyka.ru/forum/threads/chto-takoe-dux.3377/                                                                                            ; utf-8       ;       200; ../../ru/txt/original/ru2/ru2-28.txt; ../../ru/html_dump/ru2-28.html;        3620;          119; ../../ru/csv/ru2-28.csv
   29; https://www.gotquestions.org/Russian/Russian-human-spirit.html                                                                                  ; indisponible;       404; ../../ru/txt/original/ru2/ru2-29.txt; ../../ru/html_dump/ru2-29.html;         615;           31; ../../ru/csv/ru2-29.csv
   30; https://kontrudar.com/faq/duh-i-sushchnost                                                                                                      ; utf-8       ;       200; ../../ru/txt/original/ru2/ru2-30.txt; ../../ru/html_dump/ru2-30.html;        2390;           33; ../../ru/csv/ru2-30.csv
